GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-2546-201229-203081-203468-203918-,C. Anthony - A. Tolliver - D. Lillard - C. McCollum - R. Hood,1610612757,POR,1,0,1,0.0,24.8,20.0,46.0,0.435,9.0,22.0,0.409,3.0,5.0,0.6,1.0,20.0,21.0,9.0,4.0,2.0,3.0,0.0,9.0,8.0,52.0,8.0,5956,8348,4331,8348,1,2,2,6739,1,1,3913,687,320,5749,1645,1,6,25,13578,193,7,1,13786,14,3,178
Lineups,-203506-203933-1626167-1627734-1628988-,V. Oladipo - T. Warren - M. Turner - D. Sabonis - A. Holiday,1610612754,IND,2,1,1,0.5,23.7,23.5,43.0,0.547,4.5,11.5,0.391,7.0,8.5,0.824,4.5,18.5,23.0,11.0,6.0,3.0,1.5,1.0,10.5,9.5,58.5,8.5,3507,3091,4331,5655,2,1,3,3416,59,40,4251,27,44,3880,48,3,3,4,13767,48,301,11896,13795,9,2,172
Lineups,-203914-203999-1627750-1628420-1628470-,G. Harris - N. Jokic - J. Murray - M. Morris - T. Craig,1610612743,DEN,1,1,0,1.0,23.2,18.0,49.0,0.367,4.0,14.0,0.286,2.0,6.0,0.333,10.0,16.0,26.0,11.0,6.0,5.0,1.0,1.0,10.0,5.0,42.0,1.0,5956,3091,1,1,3,7,1,8228,74,9,5786,1458,154,7188,1,5,1,4,13767,3,418,11896,13793,121,16,3866
Lineups,-203200-203960-1627763-1628410-1628993-,J. Holiday - J. Sampson - M. Brogdon - E. Sumner - A. Johnson,1610612754,IND,1,1,0,1.0,20.7,16.0,37.0,0.432,8.0,17.0,0.471,6.0,7.0,0.857,7.0,19.0,26.0,12.0,8.0,2.0,0.0,1.0,9.0,7.0,46.0,14.0,5956,3091,1,1,4,11,4,6764,4,3,3498,61,84,3523,6,2,1,3,13788,193,4536,11896,13786,29,9,17
Lineups,-200794-203115-203914-203999-1627750-,P. Millsap - W. Barton - G. Harris - N. Jokic - J. Murray,1610612743,DEN,38,24,14,0.632,19.3,17.1,36.0,0.473,4.1,12.5,0.325,5.9,6.9,0.848,4.5,13.4,17.9,10.5,5.5,3.7,1.5,1.7,7.4,7.8,44.0,3.5,9,6,13773,5379,5,8,5,6004,73,26,5620,125,132,3635,47,11,9,10,13762,38,301,13509,13775,23,14,1435
Lineups,-2546-2772-202355-203081-203468-,C. Anthony - T. Ariza - H. Whiteside - D. Lillard - C. McCollum,1610612757,POR,12,7,5,0.583,19.1,18.4,36.0,0.512,5.9,13.7,0.433,7.0,9.1,0.771,3.8,13.8,17.7,9.7,5.3,2.3,2.3,1.7,6.9,7.8,49.8,2.8,238,242,13263,5559,6,6,6,3839,25,15,3678,27,24,4286,119,10,10,21,13759,179,65,13501,13751,22,5,2103
Lineups,-200826-203501-204001-1627827-1629151-,J. Barea - T. Hardaway Jr. - K. Porzingis - D. Finney-Smith - R. Broekhoff,1610612742,DAL,1,0,1,0.0,18.7,17.0,35.0,0.486,7.0,16.0,0.438,8.0,11.0,0.727,5.0,17.0,22.0,14.0,6.0,0.0,3.0,1.0,6.0,6.0,49.0,-7.0,5956,8348,4331,8348,7,9,7,5802,7,5,3660,14,12,4897,12,4,4,1,13767,5899,7,11896,13702,52,6,13457
Lineups,-1628418-1628972-1629010-1629067-1629140-,T. Bryant - T. Brown Jr. - J. Robinson - I. Bonga - J. Williams,1610612764,WAS,1,1,0,1.0,17.5,13.0,33.0,0.394,5.0,12.0,0.417,3.0,4.0,0.75,8.0,13.0,21.0,9.0,9.0,6.0,3.0,2.0,7.0,3.0,34.0,-2.0,5956,3091,1,1,9,49,8,7822,30,27,3859,687,575,4343,3,15,6,25,13793,1,7,13516,13753,596,52,9805
Lineups,-203506-203933-1626167-1627763-1628988-,V. Oladipo - T. Warren - M. Turner - M. Brogdon - A. Holiday,1610612754,IND,5,3,2,0.6,17.5,13.2,29.0,0.455,4.8,11.8,0.407,6.0,8.0,0.75,1.8,12.4,14.2,8.6,5.4,2.0,1.8,1.8,6.6,7.2,37.2,-2.4,1208,951,10647,5429,8,46,23,6316,55,39,3920,61,47,4343,1114,28,50,43,13761,193,282,13512,13749,28,34,11133
Lineups,-1626156-1626157-1627736-1627823-1629006-,D. Russell - K. Towns - M. Beasley - J. Hernangomez - J. Okogie,1610612750,MIN,1,0,1,0.0,17.2,15.0,26.0,0.577,6.0,11.0,0.545,12.0,14.0,0.857,0.0,12.0,12.0,8.0,7.0,1.0,0.0,0.0,9.0,10.0,48.0,-9.0,5956,8348,4331,8348,10,19,52,2969,11,43,1947,5,6,3523,6615,34,99,51,13781,960,4536,1,13786,7,7,13666
Lineups,-200782-201566-201935-203496-1627863-,P. Tucker - R. Westbrook - J. Harden - R. Covington - D. House Jr.,1610612745,HOU,13,8,5,0.615,17.0,14.5,31.9,0.453,5.5,15.9,0.343,6.4,8.1,0.79,2.5,12.2,14.6,8.3,3.8,3.9,2.4,1.4,7.8,7.0,40.8,1.7,189,176,13263,5416,11,26,13,6428,27,7,4639,59,46,4203,420,33,46,47,13573,37,63,13437,13776,29,20,3388
Lineups,-201599-1627747-1627789-1629066-1629185-,D. Jordan - C. LeVert - T. Luwawu-Cabarrot - R. Kurucs - C. Chiozza,1610612751,BKN,1,1,0,1.0,16.8,19.0,32.0,0.594,6.0,14.0,0.429,18.0,23.0,0.783,10.0,12.0,22.0,9.0,4.0,2.0,1.0,0.0,12.0,14.0,62.0,28.0,5956,3091,1,1,15,4,10,2840,11,9,3685,1,1,4232,1,34,4,25,13578,193,418,1,13797,1,1,2
Lineups,-200768-201586-1627775-1627832-1628384-,K. Lowry - S. Ibaka - P. McCaw - F. VanVleet - O. Anunoby,1610612761,TOR,8,4,4,0.5,16.8,13.1,29.6,0.443,4.0,11.0,0.364,5.3,6.5,0.808,1.9,12.9,14.8,8.6,5.8,2.4,1.5,1.4,6.8,5.3,35.5,-3.1,541,642,12905,5655,13,48,20,6632,74,43,4479,143,137,3969,1102,26,45,42,13765,169,301,13435,13750,109,44,12115
Lineups,-200794-203999-1627750-1628470-1629008-,P. Millsap - N. Jokic - J. Murray - T. Craig - M. Porter Jr.,1610612743,DEN,3,1,2,0.333,16.8,14.3,27.7,0.518,4.0,10.3,0.387,5.3,6.3,0.842,3.0,10.0,13.0,9.0,4.7,1.0,0.3,0.7,6.3,5.0,38.0,-3.7,2278,3091,10647,7430,14,29,40,3784,74,64,4279,140,147,3657,154,70,75,25,13704,960,3277,11558,13745,121,30,12241
Lineups,-200765-201580-202340-203484-1628398-,R. Rondo - J. McGee - A. Bradley - K. Caldwell-Pope - K. Kuzma,1610612747,LAL,1,1,0,1.0,16.8,20.0,30.0,0.667,4.0,5.0,0.8,2.0,4.0,0.5,4.0,12.0,16.0,5.0,6.0,1.0,0.0,1.0,5.0,7.0,46.0,3.0,5956,3091,1,1,12,2,17,1575,74,617,1090,1458,575,5960,54,34,15,276,13767,960,4536,11896,13592,29,9,1492
Lineups,-202696-203095-203516-203932-1628365-,N. Vucevic - E. Fournier - J. Ennis III - A. Gordon - M. Fultz,1610612753,ORL,6,3,3,0.5,16.6,16.3,32.2,0.508,2.5,10.3,0.242,4.5,5.7,0.794,2.5,11.7,14.2,10.0,3.7,3.3,2.2,1.5,4.7,5.0,39.7,-3.8,912,951,12228,5655,16,10,9,3856,479,64,6475,258,287,4193,385,42,51,12,13557,42,67,13447,13570,121,27,12279
Lineups,-200768-201188-1627783-1627832-1628384-,K. Lowry - M. Gasol - P. Siakam - F. VanVleet - O. Anunoby,1610612761,TOR,22,16,6,0.727,16.4,13.5,28.3,0.475,5.3,13.1,0.403,6.6,8.0,0.824,1.9,13.2,15.1,8.8,5.1,3.2,1.5,2.0,7.0,8.0,38.8,4.5,42,25,13468,4761,18,43,30,5953,29,16,3925,56,47,3879,1099,14,30,39,13758,47,345,13516,13752,13,28,909
Lineups,-2772-202357-202709-203473-1628368-,T. Ariza - N. Bjelica - C. Joseph - D. Dedmon - D. Fox,1610612758,SAC,1,1,0,1.0,16.4,16.0,27.0,0.593,6.0,9.0,0.667,12.0,14.0,0.857,1.0,14.0,15.0,7.0,4.0,2.0,1.0,2.0,9.0,13.0,50.0,27.0,5956,3091,1,1,17,11,42,2844,11,114,1283,5,6,3523,1645,8,31,88,13578,193,418,13516,13786,2,4,3
Lineups,-2546-2772-202355-203081-1629014-,C. Anthony - T. Ariza - H. Whiteside - D. Lillard - A. Simons,1610612757,POR,1,0,1,0.0,16.2,15.0,28.0,0.536,9.0,14.0,0.643,2.0,2.0,1.0,2.0,11.0,13.0,5.0,8.0,1.0,0.0,2.0,4.0,5.0,41.0,-5.0,5956,8348,4331,8348,19,19,31,3581,1,9,1670,1458,2160,1,472,47,75,276,13788,960,4536,13516,13288,121,18,12838
Lineups,-202683-1628400-1629641-1629682-1629750-,E. Kanter - S. Ojeleye - R. Langford - T. Waters - J. Green,1610612738,BOS,1,0,1,0.0,16.1,13.0,28.0,0.464,4.0,11.0,0.364,3.0,3.0,1.0,3.0,11.0,14.0,9.0,9.0,5.0,1.0,3.0,3.0,5.0,33.0,5.0,5956,8348,4331,8348,20,49,31,6159,74,43,4479,687,1226,1,154,47,53,25,13793,3,418,13756,12655,121,58,612
