GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-1628982-1629658-1630249-1630285-1630686-,M. Frazier Jr. - J. Hoard - V. Krejci - Z. Simpson - B. Kalaitzakis,1610612760,OKC,2,0,2,0.0,31.8,23.0,62.5,0.368,3.5,21.5,0.163,7.0,9.5,0.737,8.0,20.0,28.0,11.0,8.0,3.0,2.0,4.5,14.5,8.0,56.5,-31.5,3707,10195,13953,10195,1,1,1,10380,242,1,8767,46,41,6037,3,2,1,24,17374,65,87,17381,17382,19,8,17383
Lineups,-1629647-1629652-1630526-1630581-1630598-,D. Bazley - L. Dort - J. Robinson-Earl - J. Giddey - A. Wiggins,1610612760,OKC,1,0,1,0.0,24.3,21.0,44.0,0.477,12.0,20.0,0.6,4.0,6.0,0.667,3.0,24.0,27.0,14.0,9.0,2.0,2.0,5.0,9.0,4.0,58.0,6.0,6811,10195,5744,10195,2,6,5,7583,1,3,2071,370,207,6306,244,1,3,5,17378,287,87,17382,17369,368,6,546
Lineups,-203952-1626172-1627780-1629308-1629673-,A. Wiggins - K. Looney - G. Payton II - J. Toscano-Anderson - J. Poole,1610612744,GSW,1,1,0,1.0,24.0,23.0,44.0,0.523,7.0,14.0,0.5,5.0,7.0,0.714,8.0,20.0,28.0,13.0,7.0,3.0,4.0,4.0,10.0,13.0,58.0,18.0,6811,3401,1,1,3,1,5,4834,12,25,2460,179,128,6118,3,2,1,7,17365,65,5,17366,17373,1,6,7
Lineups,-203991-203992-1626153-1628381-1629629-,C. Capela - B. Bogdanovic - D. Wright - J. Collins - C. Reddish,1610612737,ATL,1,0,1,0.0,24.0,15.0,45.0,0.333,5.0,17.0,0.294,6.0,11.0,0.545,6.0,17.0,23.0,12.0,5.0,5.0,3.0,4.0,6.0,8.0,41.0,-16.0,6811,10195,5744,10195,4,37,3,10622,51,10,7186,98,17,7178,17,6,6,14,17277,9,18,17366,17243,19,36,17371
Lineups,-1626147-1627741-1629048-1630169-1630678-,J. Anderson - B. Hield - G. Bitadze - T. Haliburton - T. Taylor,1610612754,IND,1,0,1,0.0,23.1,23.0,45.0,0.511,7.0,19.0,0.368,10.0,13.0,0.769,10.0,9.0,19.0,16.0,6.0,7.0,4.0,2.0,10.0,10.0,63.0,11.0,6811,10195,5744,10195,5,1,3,4957,12,5,5554,10,6,5319,1,163,15,1,17344,1,5,17000,17373,6,1,76
Lineups,-1626156-1627736-1627774-1629675-1630183-,D. Russell - M. Beasley - J. Layman - N. Reid - J. McDaniels,1610612750,MIN,1,0,1,0.0,22.1,22.0,50.0,0.44,8.0,21.0,0.381,2.0,2.0,1.0,9.0,13.0,22.0,15.0,9.0,4.0,1.0,4.0,10.0,7.0,54.0,-9.0,6811,10195,5744,10195,6,5,2,8433,6,2,5387,1876,2672,1,2,23,7,4,17378,24,568,17366,17373,37,10,17195
Lineups,-1629658-1629676-1630285-1630686-1630846-,J. Hoard - I. Roby - Z. Simpson - B. Kalaitzakis - O. Sarr,1610612760,OKC,1,1,0,1.0,22.1,20.0,40.0,0.5,6.0,13.0,0.462,3.0,8.0,0.375,6.0,14.0,20.0,9.0,5.0,5.0,5.0,2.0,4.0,6.0,49.0,7.0,6811,3401,1,1,7,11,8,5003,31,38,4439,869,69,8811,17,19,9,53,17277,9,2,17000,16766,81,16,345
Lineups,-203994-1626159-1628404-1629014-1629604-,J. Nurkic - J. Winslow - J. Hart - A. Simons - C. Elleby,1610612757,POR,3,3,0,1.0,21.2,20.0,40.3,0.496,8.7,18.0,0.481,7.7,9.7,0.793,6.0,14.7,20.7,12.0,5.3,2.3,1.7,2.3,7.7,8.7,56.3,8.3,2316,956,1,1,8,11,7,7389,5,7,4373,43,39,5196,17,16,8,14,17335,253,370,17311,17360,17,9,227
Lineups,-203994-1626181-1626204-1629014-1629642-,J. Nurkic - N. Powell - L. Nance Jr. - A. Simons - N. Little,1610612757,POR,2,1,1,0.5,21.2,20.5,38.5,0.532,7.5,17.0,0.441,13.0,16.5,0.788,6.0,12.5,18.5,9.5,3.5,4.0,2.0,0.0,8.0,11.5,61.5,6.0,3707,3401,5744,7220,9,10,11,4691,11,10,4628,3,3,5209,17,36,18,46,17062,24,87,1,17361,3,2,546
Lineups,-201949-202681-203083-203552-1628971-,J. Johnson - K. Irving - A. Drummond - S. Curry - B. Brown,1610612751,BKN,1,1,0,1.0,20.8,21.0,37.0,0.568,9.0,16.0,0.563,9.0,12.0,0.75,5.0,13.0,18.0,13.0,5.0,3.0,3.0,0.0,11.0,10.0,60.0,15.0,6811,3401,1,1,10,6,12,4098,3,13,2344,15,10,5392,37,23,19,7,17277,65,18,1,17379,6,3,18
