Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Oklahoma City Thunder,53,44,9,.830,48.0,118.2,44.0,92.6,47.6,14.0,38.9,36.0,16.1,19.5,82.1,10.9,33.5,44.5,26.2,12.0,11.1,5.6,4.8,20.5,18.1,13.5
Cleveland Cavaliers,54,44,10,.815,48.0,122.7,45.0,90.4,49.8,16.2,41.2,39.3,16.5,21.0,78.8,10.5,34.3,44.8,29.1,13.1,8.4,4.5,4.5,18.5,18.4,10.8
Boston Celtics,55,39,16,.709,48.5,117.2,41.6,90.5,46.0,17.7,48.3,36.7,16.2,20.4,79.3,10.8,34.3,45.1,25.8,11.8,7.3,5.7,4.0,16.4,18.5,9.1
Memphis Grizzlies,54,36,18,.667,48.0,123.3,45.3,93.3,48.6,14.1,37.5,37.5,18.6,24.3,76.8,13.3,34.5,47.8,29.1,16.6,9.1,6.0,5.6,21.1,20.9,7.5
New York Knicks,54,36,18,.667,48.3,118.4,44.1,88.9,49.6,12.8,34.0,37.6,17.5,21.6,80.7,10.9,32.1,43.0,27.6,13.1,8.0,3.8,5.0,17.1,19.5,5.9
Denver Nuggets,55,36,19,.655,48.4,121.5,45.8,89.9,51.0,11.8,31.2,37.9,18.1,23.2,77.7,11.2,34.6,45.8,31.3,14.1,8.4,4.8,5.3,17.6,19.0,5.7
Houston Rockets,54,34,20,.630,48.3,113.0,41.6,93.2,44.7,12.1,35.5,34.0,17.6,23.5,75.2,14.7,33.2,47.9,22.6,13.7,8.9,5.1,6.2,19.7,20.1,4.3
Los Angeles Lakers,52,32,20,.615,48.1,113.3,41.3,85.5,48.4,12.3,34.2,36.0,18.3,23.1,79.0,9.2,32.8,41.9,26.8,13.6,7.6,4.7,4.2,16.7,19.5,0.8
Indiana Pacers,53,30,23,.566,48.3,116.0,43.3,88.8,48.8,12.6,34.2,36.8,16.8,21.5,78.3,9.1,32.3,41.4,28.9,13.4,8.5,5.1,4.5,19.1,18.6,0.4
LA Clippers,53,30,23,.566,48.2,110.8,40.8,86.5,47.3,12.2,33.8,36.1,16.9,21.2,79.8,10.6,33.7,44.3,24.7,16.0,9.6,4.5,4.6,18.3,17.6,2.9
Milwaukee Bucks,53,29,24,.547,48.1,114.3,41.8,87.2,48.0,14.4,37.3,38.7,16.2,21.8,73.9,8.5,35.5,44.0,25.3,13.6,7.2,4.9,4.0,18.5,18.5,1.4
Minnesota Timberwolves,55,30,25,.545,48.2,111.4,39.9,86.5,46.1,14.9,39.2,38.0,16.8,21.3,78.8,11.0,33.1,44.1,25.2,15.2,7.9,5.0,4.7,17.9,19.1,3.2
Dallas Mavericks,55,29,26,.527,48.2,115.7,42.3,88.3,47.9,13.1,35.2,37.2,18.1,23.4,77.2,11.0,33.4,44.3,25.2,14.2,7.9,6.1,4.7,18.7,19.0,2.2
Detroit Pistons,55,29,26,.527,48.4,113.6,42.2,89.8,47.0,13.0,36.1,36.0,16.2,20.7,78.4,11.5,33.8,45.3,26.0,15.4,7.8,5.0,4.9,20.3,18.0,0.5
Sacramento Kings,54,28,26,.519,48.6,116.5,43.2,91.0,47.5,12.3,35.7,34.4,17.8,22.1,80.3,10.9,33.8,44.8,26.7,13.3,7.8,4.7,4.6,19.3,19.1,0.9
Golden State Warriors,54,27,27,.500,48.1,112.1,40.8,91.7,44.5,15.3,42.6,36.0,15.1,20.8,72.8,12.8,33.3,46.1,28.7,14.0,8.7,5.0,5.8,19.6,17.9,0.2
Orlando Magic,56,27,29,.482,48.2,104.0,37.7,85.8,43.9,11.1,36.2,30.6,17.6,23.0,76.4,11.3,30.4,41.6,23.1,14.7,9.1,6.1,4.4,20.4,20.4,-1.4
Phoenix Suns,54,26,28,.481,48.4,113.2,40.7,85.9,47.4,14.1,37.6,37.5,17.8,22.1,80.4,9.3,33.2,42.5,27.4,14.0,7.5,5.1,4.2,18.1,19.2,-1.8
Miami Heat,52,25,27,.481,48.7,109.8,39.4,87.0,45.3,14.1,38.9,36.2,16.8,21.3,79.1,9.6,34.5,44.1,26.3,13.7,7.9,3.8,5.1,15.8,17.6,-0.8
Atlanta Hawks,55,26,29,.473,48.4,116.7,42.5,91.8,46.3,13.0,37.4,34.8,18.6,24.1,77.2,11.9,33.1,45.0,29.4,16.0,10.1,5.2,5.2,18.7,20.1,-2.4
San Antonio Spurs,52,23,29,.442,48.2,113.0,41.2,89.3,46.1,13.8,39.5,35.0,16.8,21.3,78.8,11.0,33.9,45.0,28.9,14.2,7.9,6.5,4.5,16.3,18.0,-1.5
Portland Trail Blazers,55,23,32,.418,48.1,109.2,40.0,88.7,45.1,12.3,35.8,34.4,16.9,21.8,77.6,12.5,31.1,43.6,23.3,16.0,7.9,5.5,5.5,19.4,19.0,-5.6
Chicago Bulls,55,22,33,.400,48.1,116.0,42.5,91.6,46.4,15.8,43.0,36.8,15.2,19.0,79.8,9.7,35.5,45.2,28.8,15.1,7.5,4.8,5.1,17.9,16.5,-4.7
Brooklyn Nets,54,20,34,.370,48.3,105.0,37.6,85.2,44.1,13.4,38.3,34.8,16.6,20.8,79.5,10.6,30.5,41.0,24.7,15.4,7.6,4.3,5.7,20.3,19.1,-6.0
Philadelphia 76ers,54,20,34,.370,48.4,109.1,39.2,86.0,45.6,12.7,36.4,34.9,18.0,22.9,78.6,9.8,29.2,39.0,23.0,13.5,9.4,4.1,5.1,19.7,19.4,-3.8
Toronto Raptors,55,17,38,.309,48.3,110.6,41.7,89.5,46.6,11.4,32.8,34.9,15.7,21.0,74.8,11.6,32.2,43.8,28.7,15.5,7.8,4.6,5.7,21.6,18.4,-5.9
Charlotte Hornets,52,13,39,.250,48.3,106.3,38.4,89.4,43.0,13.6,39.4,34.5,15.8,20.3,77.9,12.7,33.0,45.7,23.9,15.3,7.9,4.7,5.6,19.4,18.9,-5.5
Utah Jazz,53,13,40,.245,48.3,112.2,40.1,87.6,45.8,13.8,39.1,35.4,18.2,23.0,79.0,12.3,33.2,45.5,25.6,17.4,6.7,5.0,6.4,19.2,20.1,-7.1
New Orleans Pelicans,54,12,42,.222,48.2,110.0,40.4,90.2,44.7,12.2,35.1,34.8,17.1,22.4,76.6,11.9,30.8,42.7,25.1,14.3,9.2,5.5,5.6,18.2,18.1,-9.1
Washington Wizards,54,9,45,.167,48.2,108.6,39.8,90.6,43.9,13.0,38.8,33.4,16.0,20.5,77.8,10.8,33.3,44.1,25.1,16.0,7.5,5.0,5.4,20.4,18.2,-13.4
